Aircraft,AircraftType,Flight,DepartureAirportICAO,ArrivalAirportICAO,Coordenada,Altitude
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S012944W0491253,12667
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S013702W0501107,17998
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S015054W0511419,18000
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S020325W0522043,18001
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S030219W0600241,412
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S020731W0532756,17997
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S025910W0592004,12416
PR-YXF,ATR-72-600,AD6105,SBBE,SBSN,S021747W0543447,15067
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S025300W0582941,17797
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S024556W0573215,18953
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S023840W0563247,18961
PR-AQV,ATR-72-600,AD2799,SBEG,SBSN,S023116W0553057,13978
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S022517W0544711,404
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S023301W0552753,12507
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S022518W0544722,448
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S023836W0562542,18005
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S021434W0540356,15150
PR-YXF,ATR-72-600,AD4435,SBSN,SBEG,S024343W0573047,18009
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S020700W0531100,21000
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S015814W0521006,20996
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S014919W0510820,21005
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S014614W0500618,20997
PR-AQV,ATR-72-600,AD2799,SBSN,SBBE,S013551W0490051,11472
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S080810W0345512,129
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S084648W0352512,14001
PR-AKJ,ATR-72-600,AD4556,SBRF,SBMO,S092930W0355339,2104
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S080825W0345507,253
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S072654W0350149,13917
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S063124W0352009,16997
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S030219W0600246,523
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S031948W0604430,13587
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S033848W0614142,18007
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S093047W0354648,600
PR-AQH,ATR-72-600,AD2682,SBRF,SBSG,S054523W0352652,1532
PR-AQJ,ATR-72-600,AD4421,SBCF,NULL,S193831W0435739,2974
PR-AQJ,ATR-72-600,AD4421,SBCF,NULL,S193825W0443628,17611
PR-AQJ,ATR-72-600,AD6122,SBCF,NULL,S194104W0453712,22017
PR-YXF,ATR-72-600,AD9585,SBEG,SBUY,S040012W0624623,18006
PR-AQJ,ATR-72-600,AD6122,SBCF,SBUR,S194322W0463822,22004
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S085057W0352417,13883
PR-AQJ,ATR-72-600,AD6122,SBCF,SBUR,S195332W0474422,8231
PR-AKJ,ATR-72-600,AD4557,SBMO,SBRF,S075839W0350258,4533
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S054613W0352150,427
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S062826W0351037,13113
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S204838W0492353,1897
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S211951W0485021,12591
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S164229W0434832,2298
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S072351W0350400,16000
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S173031W0434603,14838
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S220517W0481056,17009
PR-AQH,ATR-72-600,AD4038,SBSG,SBRF,S081341W0344701,3841
PR-AQZ,ATR-72-600,AD2731,SBMK,SBCF,S183029W0435652,17997
PR-AQR,ATR-72-600,AD4876,SBSR,SBKP,S225128W0472720,16145
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S232829W0520035,1948
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S231311W0510643,13793
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S225645W0500056,17000
PR-YXE,ATR-72-600,AD4103,SBMG,SBKP,S224447W0484903,16998
PR-YXF,ATR-72-600,AD9585,SBUY,SBEG,S042117W0635026,18005
PR-YXF,ATR-72-600,AD9585,SBUY,SBEG,S044445W0645419,11406
